Maze,Algoritmo,Tiempo,Distancia,Nodos,Ranking
kruskal_0,a_star,20.835,267,2151,1
kruskal_0,ucs,25.447,267,2774,3
kruskal_0,bfs,25.386,267,2791,2
kruskal_0,dfs,27.948,267,3209,4
kruskal_1,a_star,3.171,95,291,1
kruskal_1,bfs,9.168,95,894,3
kruskal_1,ucs,9.090,95,881,2
kruskal_1,dfs,12.268,95,1912,4
kruskal_2,dfs,4.347,109,509,1
kruskal_2,a_star,5.008,109,554,2
kruskal_2,ucs,8.082,109,944,4
kruskal_2,bfs,7.914,109,950,3
kruskal_3,a_star,37.337,209,2866,1
kruskal_3,dfs,50.356,209,4034,2
kruskal_3,ucs,53.009,209,4298,3
kruskal_3,bfs,53.223,209,4324,4
kruskal_4,a_star,15.994,212,1487,1
kruskal_4,dfs,16.681,212,1553,2
kruskal_4,bfs,31.245,212,3408,3
kruskal_4,ucs,31.295,212,3389,4
kruskal_5,a_star,31.946,223,2154,1
kruskal_5,ucs,50.912,223,3935,2
kruskal_5,bfs,51.360,223,3988,3
kruskal_5,dfs,54.772,223,4622,4
kruskal_6,dfs,14.892,150,1238,1
kruskal_6,a_star,18.083,150,1550,2
kruskal_6,bfs,25.114,150,2577,4
kruskal_6,ucs,24.794,150,2567,3
kruskal_7,dfs,2.366,95,199,1
kruskal_7,a_star,5.377,95,458,2
kruskal_7,ucs,8.908,95,1047,3
kruskal_7,bfs,8.949,95,1060,4
kruskal_8,dfs,12.939,153,938,1
kruskal_8,a_star,15.849,153,1188,2
kruskal_8,ucs,23.284,153,2172,4
kruskal_8,bfs,23.061,153,2190,3
kruskal_9,a_star,15.897,217,1230,1
kruskal_9,dfs,24.143,217,1896,2
kruskal_9,bfs,27.582,217,2262,3
kruskal_9,ucs,27.825,217,2252,4
kruskal_10,a_star,4.528,103,406,1
kruskal_10,dfs,7.968,103,737,2
kruskal_10,bfs,13.418,103,1768,4
kruskal_10,ucs,13.258,103,1745,3
kruskal_11,dfs,54.702,435,3657,1
kruskal_11,a_star,61.561,435,4033,2
kruskal_11,ucs,64.489,435,4248,3
kruskal_11,bfs,64.587,435,4263,4
kruskal_12,dfs,35.356,379,2510,1
kruskal_12,a_star,45.876,379,3165,2
kruskal_12,ucs,55.859,379,4033,4
kruskal_12,bfs,55.601,379,4051,3
kruskal_13,a_star,8.222,101,683,1
kruskal_13,bfs,19.784,101,1689,3
kruskal_13,ucs,19.779,101,1657,2
kruskal_13,dfs,21.682,101,1913,4
kruskal_14,a_star,7.193,102,573,1
kruskal_14,ucs,15.365,102,1258,2
kruskal_14,bfs,15.521,102,1295,3
kruskal_14,dfs,23.417,102,3922,4
kruskal_15,a_star,0.663,62,191,1
kruskal_15,ucs,2.290,62,464,3
kruskal_15,bfs,2.265,62,470,2
kruskal_15,dfs,12.769,62,4482,4
kruskal_16,a_star,42.607,232,2918,1
kruskal_16,bfs,55.928,232,4045,3
kruskal_16,ucs,55.896,232,4035,2
kruskal_16,dfs,58.629,232,4393,4
kruskal_17,dfs,42.998,406,3112,1
kruskal_17,a_star,48.343,406,3399,2
kruskal_17,bfs,54.110,406,3818,3
kruskal_17,ucs,54.221,406,3810,4
kruskal_18,a_star,32.311,261,2427,1
kruskal_18,ucs,50.913,261,3765,2
kruskal_18,bfs,50.932,261,3791,3
kruskal_18,dfs,52.304,261,3895,4
kruskal_19,a_star,5.808,87,464,1
kruskal_19,ucs,14.689,87,1343,3
kruskal_19,bfs,14.571,87,1364,2
kruskal_19,dfs,23.822,87,4813,4
kruskal_20,dfs,12.606,208,914,1
kruskal_20,a_star,33.750,208,2673,2
kruskal_20,ucs,46.951,208,4437,3
kruskal_20,bfs,46.993,208,4469,4
kruskal_21,dfs,50.304,269,3399,1
kruskal_21,a_star,52.306,269,3528,2
kruskal_21,bfs,57.945,269,3944,3
kruskal_21,ucs,58.016,269,3938,4
kruskal_22,a_star,7.177,142,645,1
kruskal_22,dfs,9.150,142,832,2
kruskal_22,bfs,11.971,142,1361,3
kruskal_22,ucs,12.328,142,1354,4
kruskal_23,a_star,39.728,302,2954,1
kruskal_23,dfs,45.717,302,3271,2
kruskal_23,bfs,47.978,302,3473,3
kruskal_23,ucs,47.986,302,3457,4
kruskal_24,a_star,55.530,275,3686,1
kruskal_24,dfs,58.007,275,3817,2
kruskal_24,ucs,65.045,275,4351,4
kruskal_24,bfs,64.762,275,4360,3
